name,latitude,longitude
Graz,47.09113253131379,15.475817295884497
Taipei,25.031224572388727,121.5683553927796
São Paulo,-23.553587531516293,-46.64191552881332
Ribeirão Preto,-21.17541981482625,-47.80700041467615
Florianópolis,-27.599309445589657,-48.48817975644357
Salvador,-12.947243144620645,-38.43641130189653
Maceió,-9.641966176203784,-35.73846456565925
Belo Horizonte,-19.848295063505297,-43.934907510577496
Brasília,-15.765777242405598,-47.90688628657218

